County_Name,MedianHouseholdIncome,PerCapitaIncome,MedianRentAsPctOfIncome,State_FIPS,County_FIPS,Year,GiniIndex,pct_inPoverty,pct_Over200k,pct_WorkFromHome,pct_PrivateProfitWage,MedianHouseholdIncome_adj,PerCapitaIncome_adj,MedianAge_Total,pct_White,pct_Black,pct_NativeAmerican,pct_Asian,pct_Multiracial,pct_Hispanic,pct_ForeignBorn
"Dodge County, Georgia",31334.0,15239.0,23.5,13,91,2009,,0.223193336461755,0.0046136101499423,0.0025054807391168,0.4959975834466092,31334.0,15239.0,36.1,0.686062452399086,0.3003808073115004,0.0014724549378014725,0.004112718964204113,0.007159177456207159,0.02157908098502158,0.01645087585681645
"Dooly County, Georgia",30172.0,13131.0,34.5,13,93,2009,,0.2747524752475248,0.0039577836411609,0.0210970464135021,0.4426953880143606,30172.0,13131.0,38.7,0.45992612318529336,0.4977235632677605,0.0007731294562322824,0.0,0.0014603556395498668,0.05240099647796581,0.026715917876471092
"Dougherty County, Georgia",34597.0,20227.0,29.5,13,95,2009,,0.2524109832477298,0.0235342130322405,0.0282301553062985,0.4798628738910842,34597.0,20227.0,32.8,0.3352145179901395,0.6362320360851778,0.00257001993076681,0.00996538340501416,0.010405958250288472,0.015136892898353089,0.022448337354452952
"Douglas County, Georgia",55512.0,24516.0,28.9,13,97,2009,,0.1090971919403009,0.0255050326473846,0.0357607166390625,0.524017542647973,55512.0,24516.0,33.5,0.6144370072641594,0.33568406205923834,0.003440488516758114,0.016917094010125797,0.014039149824306808,0.057990982985072194,0.0705544730427126
"Early County, Georgia",28063.0,15989.0,36.9,13,99,2009,,0.2696775312066574,0.0074441687344913,0.007983517898532,0.567647786297304,28063.0,15989.0,37.8,0.47841178462580425,0.510074500507958,0.002116491703352523,0.0015238740264138164,0.006857433118862174,0.0033863867253640365,0.0024551303758889266
"Echols County, Georgia",35230.0,13663.0,27.9,13,101,2009,,0.3182583593937936,0.0,0.042518837459634,0.7151832460732984,35230.0,13663.0,30.5,0.6211210007216743,0.01828241520327159,0.0,0.0,0.027423622804907385,0.37575174404618716,0.26004330045706037
"Effingham County, Georgia",53883.0,22364.0,28.9,13,103,2009,,0.1059436164481953,0.0147410126434772,0.0235586134819717,0.5517462763225475,53883.0,22364.0,34.6,0.8252874476239649,0.1428798379569871,0.0009531941934587049,0.009313501598586096,0.011259606410230952,0.022916377067736363,0.019619913815358343
"Elbert County, Georgia",32213.0,17451.0,30.1,13,105,2009,,0.2107912614241728,0.007265774378585,0.0277404374923622,0.5272727272727272,32213.0,17451.0,39.0,0.6702634392923107,0.3011081948089822,0.0021386215611937398,0.0027704870224555265,0.005006318654612618,0.03718285214348206,0.02576066880528823
"Emanuel County, Georgia",27924.0,15278.0,27.4,13,107,2009,,0.2483693389461997,0.0063230732522071,0.0488099552978132,0.5569472082406649,27924.0,15278.0,35.3,0.6332007073386384,0.3324049513704686,0.0014588859416445623,0.0002652519893899204,0.00614500442086649,0.06622458001768347,0.051945181255526086
"Evans County, Georgia",37473.0,17166.0,22.7,13,109,2009,,0.2346863468634686,0.005205751115518,0.0093002657218777,0.5222832052689352,37473.0,17166.0,36.3,0.6414467936396995,0.2994932727590425,0.004892538878210729,0.00235890267342303,0.009522977459374454,0.1002096802376376,0.06080726891490477
"Fannin County, Georgia",36785.0,21310.0,25.7,13,111,2009,,0.1349995520917316,0.0033376599295382,0.0190454850997087,0.5222606440458181,36785.0,21310.0,46.7,0.9636266381385398,0.0020504591245431043,0.006329678167067843,0.009182490862084336,0.0094053668538825,0.013105108317732013,0.024427208701078718
"Fayette County, Georgia",81206.0,34942.0,30.6,13,113,2009,,0.043247743824827,0.080927228440844,0.0635504521898181,0.5379709226320168,81206.0,34942.0,40.9,0.7416028033389362,0.1865473918121991,0.001984748772589575,0.03846993912804004,0.01685611995859567,0.04186015593098012,0.07618016580724196
"Floyd County, Georgia",41952.0,20696.0,31.6,13,115,2009,,0.1885667215815486,0.0212414107718187,0.0265409681110392,0.5342913128674069,41952.0,20696.0,36.3,0.8032948686987473,0.1349972175264335,0.0023624775564632136,0.014416363044551076,0.012925377208916516,0.07789875996178036,0.06360839572024066
"Forsyth County, Georgia",88040.0,36098.0,28.1,13,117,2009,,0.0543038595552498,0.0840641790218053,0.0888139844791095,0.5758470984149819,88040.0,36098.0,35.8,0.8902192820955598,0.029508488134388056,0.002202978782838351,0.041501072920502306,0.01409398529654507,0.08196731719085287,0.11494216387114796
"Franklin County, Georgia",34725.0,18855.0,28.1,13,119,2009,,0.1714538018218999,0.0128641695043511,0.0568986843584842,0.537452159650082,34725.0,18855.0,39.2,0.8929081609142436,0.08852126630109211,0.0020736371595778996,0.004009031841850606,0.00847887194138519,0.019077461868116676,0.015160591677802867
"Fulton County, Georgia",58573.0,36412.0,29.8,13,121,2009,,0.1540379398149353,0.0992482810618592,0.0634026109660574,0.5282412483838764,58573.0,36412.0,34.0,0.4781430950576813,0.42937026666720696,0.001830525919112433,0.04143147734686187,0.012178518317415423,0.08113474372637132,0.1187187736793267
"Gilmer County, Georgia",34325.0,19320.0,28.8,13,123,2009,,0.2146390422252491,0.0183607642047804,0.0429246078596727,0.5996156310057655,34325.0,19320.0,39.5,0.9121595433564709,0.0008456361650399915,0.002924491737429971,0.0025369084951199746,0.019132518234029807,0.099573658433459,0.06381029562030936
"Glascock County, Georgia",34036.0,15772.0,34.4,13,125,2009,,0.171945701357466,0.0019305019305019,0.0274361400189214,0.5131086142322098,34036.0,15772.0,38.5,0.8622076023391813,0.12317251461988304,0.0,0.0,0.014619883040935672,0.003654970760233918,0.009868421052631578
"Glynn County, Georgia",48785.0,27273.0,28.0,13,127,2009,,0.1501569537327692,0.04035412806259,0.031864266501138,0.5091770788453253,48785.0,27273.0,38.7,0.7072221402015918,0.2553182922409975,0.001127410847302938,0.009381668836485162,0.013045754090219712,0.04759284362543117,0.045646717758063
"Gordon County, Georgia",40283.0,18219.0,31.3,13,129,2009,,0.1585536562764929,0.0089529834343001,0.0153832668624271,0.5596310596310596,40283.0,18219.0,34.8,0.8485896445131376,0.03583848531684699,0.0034969088098918085,0.008520092735703247,0.017407264296754252,0.13508500772797527,0.0884080370942813
"Grady County, Georgia",34025.0,18502.0,28.7,13,131,2009,,0.2214598895745372,0.0109040863857717,0.032988423317283,0.5261630815407704,34025.0,18502.0,36.4,0.6266682795048587,0.28172251118906494,0.010201201564453047,0.0019757267852102737,0.013588161767670658,0.09495584855449377,0.06221523325672352
"Greene County, Georgia",38973.0,23919.0,39.8,13,133,2009,,0.213793999220678,0.0294464075382803,0.0338751069289991,0.5420435510887772,38973.0,23919.0,43.6,0.5995905048307634,0.3885085418132958,0.005630558577004287,0.0,0.006270394778936593,0.03704651609188048,0.024633693774393756
"Gwinnett County, Georgia",65136.0,27301.0,29.4,13,135,2009,,0.0952043063693772,0.0422882737756124,0.0515925023884171,0.5547854403509972,65136.0,27301.0,33.1,0.5949157139280647,0.20193451139113744,0.003094227238588,0.09447368146540933,0.019123445714762582,0.1682748477009096,0.23124165484436285
"Habersham County, Georgia",40412.0,19629.0,26.7,13,137,2009,,0.1774669025030819,0.0212231404958677,0.0414018310105545,0.5351920341394025,40412.0,19629.0,35.9,0.8771476429767887,0.045967934912658534,0.0023689877961234744,0.019526202440775305,0.014477147642976789,0.11232352237377363,0.07571189279731994
"Hall County, Georgia",51222.0,23004.0,29.0,13,139,2009,,0.1376446672364804,0.0323073642308785,0.0393683107551829,0.5686867455188391,51222.0,23004.0,33.0,0.8333680389453246,0.06545290823648592,0.002881503784787686,0.017694234178461884,0.011739876748177955,0.2586656161184118,0.1729633902692968
"Hancock County, Georgia",26786.0,11250.0,37.4,13,141,2009,,0.217190618762475,0.0048435171385991,0.0236277717193747,0.382363570654138,26786.0,11250.0,38.2,0.2339930151338766,0.759762937877024,0.0,0.003069107842099693,0.0,0.004444914805799556,0.015345539210498466
"Haralson County, Georgia",38290.0,18755.0,27.8,13,143,2009,,0.1881837281750344,0.0104522995058912,0.0393222796049651,0.5249059308367676,38290.0,18755.0,37.0,0.9170139010469555,0.05154242095311461,0.0036765993207045064,0.0023110052872999756,0.02065898665919675,0.011835148289505935,0.008648762211562029
"Harris County, Georgia",63368.0,28753.0,30.1,13,145,2009,,0.1016973125884017,0.0370752768913084,0.0210064635272391,0.5251664049061402,63368.0,28753.0,40.5,0.7753081290679962,0.18622766929788118,0.0025619720260351754,0.008759174629552693,0.01547569588699626,0.02146517102894336,0.02714305497853483
